,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1307,0.29%,0.37%,0.39%,0.40%,0.24%,0.31%,0.31%,0.34%,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,0.26%,0.25%,0.24%,0.30%,0.20%,0.22%,0.26%,0.27%,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,0.29%,0.27%,0.27%,0.38%,0.14%,0.24%,0.32%,0.29%,0.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,0.24%,0.19%,0.19%,0.27%,0.12%,0.19%,0.25%,0.27%,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,0.23%,0.22%,0.25%,0.30%,0.16%,0.21%,0.26%,0.26%,0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,0.46%,0.39%,0.26%,0.31%,0.19%,0.25%,0.26%,0.38%,0.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,0.18%,0.22%,0.22%,0.26%,0.16%,0.20%,0.20%,0.21%,0.17%,0.18%,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,0.14%,0.18%,0.15%,0.19%,0.09%,0.15%,0.16%,0.18%,0.15%,0.14%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,0.17%,0.22%,0.26%,0.22%,0.13%,0.16%,0.19%,0.17%,0.15%,0.15%,0.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,0.14%,0.18%,0.19%,0.29%,0.06%,0.14%,0.21%,0.21%,0.19%,0.21%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,0.12%,0.18%,0.20%,0.19%,0.13%,0.16%,0.21%,0.18%,0.18%,0.16%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,0.16%,0.29%,0.24%,0.23%,0.06%,0.19%,0.15%,0.20%,0.34%,0.18%,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,0.16%,0.21%,0.24%,0.28%,0.09%,0.19%,0.24%,0.27%,0.22%,0.17%,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,0.13%,0.16%,0.17%,0.23%,0.07%,0.17%,0.18%,0.21%,0.19%,0.15%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,0.09%,0.15%,0.19%,0.22%,0.11%,0.15%,0.15%,0.21%,0.18%,0.13%,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,0.12%,0.18%,0.16%,0.24%,0.11%,0.18%,0.20%,0.20%,0.21%,0.19%,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,0.12%,0.16%,0.18%,0.23%,0.05%,0.15%,0.19%,0.21%,0.21%,0.16%,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,0.20%,0.22%,0.23%,0.40%,0.13%,0.17%,0.20%,0.30%,0.28%,0.23%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,0.19%,0.20%,0.18%,0.26%,0.13%,0.18%,0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,0.16%,0.13%,0.13%,0.21%,0.10%,0.14%,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,0.18%,0.13%,0.15%,0.24%,0.07%,0.13%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,0.08%,0.08%,0.10%,0.11%,0.06%,0.09%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,0.15%,0.11%,0.16%,0.24%,0.11%,0.10%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,0.48%,0.21%,0.25%,0.32%,0.27%,0.24%,0.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,0.09%,0.27%,0.18%,0.21%,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
